Frequency [Hz] - Voltage (FFT - (Peak))	Peak Magnitude [V] - Voltage (FFT - (Peak))	
3310	0.00815367	
3320	0.0192371	
3330	0.0362543	
3340	0.0723534	
3350	0.024518	
3360	0.0167827	
3370	0.0197517	
3380	0.006343	
3390	0.013917	
3400	0.0116773	
3410	0.0385284	
3420	0.00953095	
3430	0.0182256	
3440	0.00879165	
3450	0.00662892	
3460	0.00869911	
3470	0.00567174	
3480	0.0181447	
3490	0.00925793	
3500	0.080996	
3510	0.00811587	
3520	0.0127729	
3530	0.00707216	
3540	0.00845745	
3550	0.0116977	
3560	0.00822114	
3570	0.0446462	
3580	0.00672963	
3590	0.0221899	
3600	0.00364513	
3610	0.0111723	
3620	0.0077886	
3630	0.0078529	
3640	0.0158	
3650	0.0104078	
3660	0.0704391	
3670	0.0210218	
3680	0.0184862	
3690	0.0085034	
3700	0.0201124	
3710	0.0149401	
3720	0.0180049	
3730	0.039729	
3740	0.0194564	
3750	0.0205033	
3760	0.00493792	
3770	0.0122197	
3780	0.00329412	
3790	0.00884862	
3800	0.0105995	
3810	0.0171783	
3820	0.0470253	
3830	0.0493078	
3840	0.0243151	
3850	0.0158447	
3860	0.0228443	
3870	0.0119666	
3880	0.017834	
3890	0.0242297	
3900	0.0347675	
3910	0.0141489	
3920	0.0134151	
3930	0.0105712	
3940	0.00319327	
3950	0.00921595	
3960	0.00514529	
3970	0.0189963	
3980	0.021042	
3990	0.0668755	
4000	0.0181099	
4010	0.0143702	
4020	0.0151075	
4030	0.00241346	
4040	0.012446	
4050	0.0053122	
4060	0.0463753	
4070	0.0060737	
4080	0.019712	
4090	0.00709731	
4100	0.00874707	
4110	0.00887301	
4120	0.00640445	
4130	0.0182394	
4140	0.00485463	
4150	0.0678185	
4160	0.00408065	
4170	0.0131541	
4180	0.00309705	
4190	0.0132809	
4200	0.0130269	
4210	0.0134126	
4220	0.0481807	
4230	0.0120929	
4240	0.021178	
4250	0.00242726	
4260	0.0113054	
4270	0.00581361	
4280	0.00897333	
4290	0.014041	
4300	0.0128906	
4310	0.053665	
4320	0.0282863	
4330	0.0200899	
