Time [s] - Voltage_0 (Filtered)	Amplitude [V] - Voltage_0 (Filtered)	
0.0231	0.00027162	
0.0232	0.00026872	
0.0233	0.000265765	
0.0234	0.000262763	
0.0235	0.000259724	
0.0236	0.000256658	
0.0237	0.000253572	
0.0238	0.000250477	
0.0239	0.000247381	
0.024	0.000244294	
0.0241	0.000241225	
0.0242	0.000238183	
0.0243	0.000235176	
0.0244	0.000232212	
0.0245	0.000229302	
0.0246	0.000226451	
0.0247	0.000223669	
0.0248	0.000220962	
0.0249	0.000218338	
0.025	0.000215804	
0.0251	0.000213366	
0.0252	0.00021103	
0.0253	0.000208802	
0.0254	0.000206686	
0.0255	0.000204688	
0.0256	0.000202812	
0.0257	0.000201062	
0.0258	0.00019944	
0.0259	0.000197951	
0.026	0.000196595	
0.0261	0.000195375	
0.0262	0.000194293	
0.0263	0.000193349	
0.0264	0.000192543	
0.0265	0.000191875	
0.0266	0.000191345	
0.0267	0.000190952	
0.0268	0.000190694	
0.0269	0.000190569	
0.027	0.000190574	
0.0271	0.000190708	
0.0272	0.000190966	
0.0273	0.000191344	
0.0274	0.00019184	
0.0275	0.000192449	
0.0276	0.000193166	
0.0277	0.000193986	
0.0278	0.000194903	
0.0279	0.000195914	
0.028	0.000197011	
0.0281	0.000198189	
0.0282	0.000199442	
0.0283	0.000200764	
0.0284	0.000202148	
0.0285	0.000203588	
0.0286	0.000205077	
0.0287	0.00020661	
0.0288	0.000208178	
0.0289	0.000209777	
0.029	0.000211398	
0.0291	0.000213036	
0.0292	0.000214684	
0.0293	0.000216335	
0.0294	0.000217983	
0.0295	0.000219623	
0.0296	0.000221248	
0.0297	0.000222851	
0.0298	0.000224428	
0.0299	0.000225973	
0.03	0.000227479	
0.0301	0.000228943	
0.0302	0.000230359	
0.0303	0.000231723	
0.0304	0.000233029	
0.0305	0.000234275	
0.0306	0.000235455	
0.0307	0.000236566	
0.0308	0.000237605	
0.0309	0.000238568	
0.031	0.000239453	
0.0311	0.000240257	
0.0312	0.000240978	
0.0313	0.000241613	
0.0314	0.000242162	
0.0315	0.000242623	
0.0316	0.000242994	
0.0317	0.000243274	
0.0318	0.000243464	
0.0319	0.000243563	
0.032	0.000243571	
0.0321	0.000243488	
0.0322	0.000243315	
0.0323	0.000243052	
0.0324	0.0002427	
0.0325	0.000242262	
0.0326	0.000241738	
0.0327	0.00024113	
0.0328	0.00024044	
0.0329	0.00023967	
0.033	0.000238824	
0.0331	0.000237902	
0.0332	0.000236908	
0.0333	0.000235845	
0.0334	0.000234716	
0.0335	0.000233525	
0.0336	0.000232274	
0.0337	0.000230967	
0.0338	0.000229607	
0.0339	0.000228199	
0.034	0.000226746	
0.0341	0.000225251	
0.0342	0.00022372	
0.0343	0.000222155	
0.0344	0.000220561	
0.0345	0.000218943	
0.0346	0.000217303	
0.0347	0.000215646	
0.0348	0.000213976	
0.0349	0.000212297	
0.035	0.000210614	
0.0351	0.000208931	
0.0352	0.00020725	
0.0353	0.000205577	
0.0354	0.000203916	
0.0355	0.000202269	
0.0356	0.000200642	
0.0357	0.000199037	
0.0358	0.000197459	
0.0359	0.000195911	
0.036	0.000194396	
0.0361	0.000192918	
0.0362	0.00019148	
0.0363	0.000190086	
0.0364	0.000188737	
0.0365	0.000187438	
0.0366	0.000186191	
0.0367	0.000184999	
0.0368	0.000183865	
0.0369	0.00018279	
0.037	0.000181776	
0.0371	0.000180827	
0.0372	0.000179945	
0.0373	0.00017913	
0.0374	0.000178384	
0.0375	0.00017771	
0.0376	0.000177108	
0.0377	0.00017658	
0.0378	0.000176127	
0.0379	0.000175749	
0.038	0.000175447	
0.0381	0.000175222	
0.0382	0.000175074	
0.0383	0.000175004	
0.0384	0.00017501	
0.0385	0.000175093	
0.0386	0.000175253	
0.0387	0.000175489	
0.0388	0.0001758	
0.0389	0.000176186	
0.039	0.000176645	
0.0391	0.000177175	
0.0392	0.000177776	
0.0393	0.000178446	
0.0394	0.000179182	
0.0395	0.000179984	
0.0396	0.000180848	
0.0397	0.000181772	
0.0398	0.000182754	
0.0399	0.000183792	
0.04	0.000184882	
0.0401	0.000186021	
0.0402	0.000187206	
0.0403	0.000188434	
0.0404	0.000189702	
0.0405	0.000191006	
0.0406	0.000192342	
0.0407	0.000193707	
0.0408	0.000195097	
0.0409	0.000196508	
0.041	0.000197936	
0.0411	0.000199377	
0.0412	0.000200828	
0.0413	0.000202283	
0.0414	0.000203739	
0.0415	0.000205191	
0.0416	0.000206636	
0.0417	0.000208069	
0.0418	0.000209487	
0.0419	0.000210884	
0.042	0.000212257	
0.0421	0.000213603	
0.0422	0.000214916	
0.0423	0.000216193	
0.0424	0.000217431	
