Time[s] - Voltage_0	Amplitude [V] - Voltage_0	
0	7.92975E-5	
0.0001	0.000284129	
0.0002	7.92975E-5	
0.0003	7.92975E-5	
0.0004	1.10204E-5	
0.0005	0.000215852	
0.0006	0.000215852	
0.0007	0.000147575	
0.0008	0.000420683	
0.0009	0.000420683	
0.001	0.000284129	
0.0011	0.000284129	
0.0012	0.000284129	
0.0013	0.00048896	
0.0014	0.000215852	
0.0015	0.000215852	
0.0016	0.000352406	
0.0017	0.000284129	
0.0018	0.000625514	
0.0019	7.92975E-5	
0.002	1.10204E-5	
0.0021	0.000147575	
0.0022	0.000284129	
0.0023	0.000215852	
0.0024	0.000215852	
0.0025	0.000147575	
0.0026	7.92975E-5	
0.0027	0.000147575	
0.0028	0.000215852	
0.0029	0.000215852	
0.003	0.000284129	
0.0031	0.000147575	
0.0032	0.000215852	
0.0033	0.000352406	
0.0034	-0.000262088	
0.0035	7.92975E-5	
0.0036	-5.72567E-5	
0.0037	0.000147575	
0.0038	-0.000125534	
0.0039	7.92975E-5	
0.004	0.000215852	
0.0041	0.000352406	
0.0042	-0.000193811	
0.0043	0.000215852	
0.0044	1.10204E-5	
0.0045	7.92975E-5	
0.0046	0.00048896	
0.0047	0.000352406	
0.0048	0.000420683	
0.0049	0.000352406	
0.005	0.000215852	
0.0051	-0.000125534	
0.0052	0.000215852	
0.0053	0.000352406	
0.0054	0.000147575	
0.0055	0.000420683	
0.0056	-0.000125534	
0.0057	0.000420683	
0.0058	0.000147575	
0.0059	1.10204E-5	
0.006	0.000420683	
0.0061	0.000215852	
0.0062	0.000420683	
0.0063	1.10204E-5	
0.0064	0.00048896	
0.0065	0.000147575	
0.0066	0.000147575	
0.0067	0.000352406	
0.0068	0.000625514	
0.0069	0.000420683	
0.007	0.000215852	
0.0071	0.000215852	
0.0072	0.000215852	
0.0073	7.92975E-5	
0.0074	0.000284129	
0.0075	0.00048896	
0.0076	0.000420683	
0.0077	0.000215852	
0.0078	0.000420683	
0.0079	7.92975E-5	
0.008	0.000147575	
0.0081	0.000557237	
0.0082	7.92975E-5	
0.0083	0.00048896	
0.0084	0.000147575	
0.0085	0.000352406	
0.0086	0.000215852	
0.0087	0.000352406	
0.0088	0.000147575	
0.0089	0.000147575	
0.009	0.00048896	
0.0091	7.92975E-5	
0.0092	0.000284129	
0.0093	7.92975E-5	
0.0094	0.000420683	
0.0095	0.000420683	
0.0096	7.92975E-5	
0.0097	0.000352406	
0.0098	0.00048896	
0.0099	0.000352406	
0.01	0.000284129	
0.0101	0.00110345	
0.0102	0.000352406	
0.0103	0.000284129	
0.0104	0.000147575	
0.0105	0.000420683	
0.0106	0.000420683	
0.0107	0.000625514	
0.0108	0.000420683	
0.0109	0.000284129	
0.011	-0.000125534	
0.0111	0.000352406	
0.0112	7.92975E-5	
0.0113	0.000284129	
0.0114	0.000215852	
0.0115	0.000352406	
0.0116	0.000215852	
0.0117	1.10204E-5	
0.0118	7.92975E-5	
0.0119	0.000352406	
0.012	0.000215852	
0.0121	0.000147575	
0.0122	0.000420683	
0.0123	0.000625514	
0.0124	0.000284129	
0.0125	-0.000125534	
0.0126	1.10204E-5	
0.0127	0.000420683	
0.0128	0.000284129	
0.0129	-0.000125534	
0.013	0.000420683	
0.0131	0.000284129	
0.0132	0.000215852	
0.0133	0.000215852	
0.0134	1.10204E-5	
0.0135	0.000352406	
0.0136	-0.000193811	
0.0137	0.000147575	
0.0138	0.000147575	
0.0139	1.10204E-5	
0.014	7.92975E-5	
0.0141	0.000215852	
0.0142	7.92975E-5	
0.0143	0.000215852	
0.0144	0.000284129	
0.0145	-5.72567E-5	
0.0146	0.000352406	
0.0147	0.000352406	
0.0148	0.000215852	
0.0149	0.000762068	
0.015	0.000284129	
0.0151	0.000215852	
0.0152	0.000284129	
0.0153	0.000147575	
0.0154	1.10204E-5	
0.0155	0.000420683	
0.0156	0.000284129	
0.0157	0.000284129	
0.0158	-5.72567E-5	
0.0159	0.000352406	
0.016	0.000215852	
0.0161	0.000557237	
0.0162	0.000215852	
