Frequency [Hz] - Voltage_0 (Power Spectrum)	Peak Magnitude [V] - Voltage_0 (Power Spectrum)	
2700	3.66638E-11	
2710	1.35361E-10	
2720	6.54541E-11	
2730	1.05736E-11	
2740	1.63688E-10	
2750	4.47617E-11	
2760	5.86724E-10	
2770	1.88236E-10	
2780	2.55738E-12	
2790	4.13371E-11	
2800	9.61207E-11	
2810	1.68797E-11	
2820	5.93314E-11	
2830	4.27461E-11	
2840	4.51551E-11	
2850	1.80987E-11	
2860	8.21072E-12	
2870	1.47086E-10	
2880	7.28163E-12	
2890	4.84122E-11	
2900	5.14607E-11	
2910	4.43877E-11	
2920	2.94935E-11	
2930	1.81862E-10	
2940	6.02529E-12	
2950	3.34881E-11	
2960	1.72572E-11	
2970	1.73208E-10	
2980	2.85874E-11	
2990	2.21246E-11	
3000	2.27568E-11	
3010	1.0436E-10	
3020	3.23276E-11	
3030	1.15146E-11	
3040	7.27283E-14	
3050	1.5782E-11	
3060	7.99493E-11	
3070	2.1246E-10	
3080	1.91043E-10	
3090	3.31988E-12	
3100	6.08081E-11	
3110	2.90397E-12	
3120	2.60369E-12	
3130	1.34476E-10	
3140	2.33682E-12	
3150	9.1083E-13	
3160	5.38033E-12	
3170	8.13186E-12	
3180	5.02426E-11	
3190	1.49091E-10	
3200	2.43944E-11	
3210	3.64187E-11	
3220	2.08563E-11	
3230	2.65909E-11	
3240	8.04361E-12	
3250	7.22961E-12	
3260	1.4498E-11	
3270	1.64579E-10	
3280	2.75988E-11	
3290	4.0811E-11	
3300	3.48527E-11	
3310	8.4849E-11	
3320	4.86343E-11	
3330	1.32978E-10	
3340	4.48309E-13	
3350	2.09874E-11	
3360	4.47333E-12	
3370	1.3487E-11	
3380	1.02569E-12	
3390	3.62166E-11	
3400	5.90278E-12	
3410	3.18122E-11	
3420	1.90319E-11	
3430	6.92214E-11	
3440	1.08265E-11	
3450	9.07521E-11	
3460	4.59774E-11	
3470	9.44687E-12	
3480	4.67367E-11	
3490	2.05444E-10	
3500	3.79742E-10	
3510	4.38504E-11	
3520	1.91767E-11	
3530	2.58318E-11	
3540	3.40031E-11	
3550	9.52615E-11	
3560	4.32272E-12	
3570	7.37782E-11	
3580	1.24254E-10	
3590	2.98143E-11	
3600	8.01991E-11	
3610	5.93451E-11	
3620	1.49755E-12	
3630	8.16493E-12	
3640	8.3352E-11	
3650	3.25466E-11	
3660	1.54263E-11	
3670	3.28244E-11	
3680	5.09138E-11	
3690	1.22069E-10	
3700	1.22968E-10	
3710	5.06582E-11	
3720	1.2784E-11	
3730	3.08226E-11	
3740	1.43796E-11	
