Frequency [Hz] - Voltage_0 (Power Spectrum)	Peak Magnitude [V] - Voltage_0 (Power Spectrum)	
2700	2.85975E-11	
2710	1.66773E-10	
2720	6.08394E-11	
2730	1.57676E-11	
2740	2.64717E-11	
2750	2.94745E-11	
2760	6.94787E-10	
2770	4.32706E-11	
2780	2.13454E-11	
2790	6.23107E-11	
2800	1.19114E-11	
2810	1.58619E-10	
2820	2.03681E-10	
2830	9.29589E-11	
2840	4.42766E-11	
2850	6.57827E-11	
2860	5.10373E-11	
2870	1.42533E-10	
2880	4.42667E-11	
2890	8.00159E-11	
2900	2.8611E-11	
2910	4.53292E-11	
2920	2.66647E-12	
2930	7.094E-11	
2940	4.30596E-12	
2950	1.55289E-11	
2960	1.04347E-11	
2970	3.99E-11	
2980	3.55739E-11	
2990	2.90899E-10	
3000	1.38164E-11	
3010	8.42941E-11	
3020	1.83864E-10	
3030	8.20299E-12	
3040	2.7896E-11	
3050	9.782E-11	
3060	7.30451E-11	
3070	1.95239E-12	
3080	8.98089E-12	
3090	2.42309E-10	
3100	6.22609E-11	
3110	2.03807E-10	
3120	1.6077E-11	
3130	5.86946E-11	
3140	6.90246E-12	
3150	3.37986E-11	
3160	7.31696E-11	
3170	4.77548E-11	
3180	6.29461E-11	
3190	1.00007E-10	
3200	9.94826E-11	
3210	1.49833E-12	
3220	8.63518E-12	
3230	5.28062E-12	
3240	2.92388E-11	
3250	1.13808E-10	
3260	4.42512E-11	
3270	6.45976E-11	
3280	1.08622E-10	
3290	5.74363E-11	
3300	1.61941E-11	
3310	1.35974E-10	
3320	4.00746E-11	
3330	1.15897E-10	
3340	1.13337E-10	
3350	7.06363E-11	
3360	2.20894E-10	
3370	9.19195E-12	
3380	6.104E-11	
3390	5.50937E-12	
3400	5.72022E-11	
3410	5.523E-11	
3420	3.52483E-11	
3430	1.33935E-10	
3440	9.98867E-12	
3450	3.19347E-11	
3460	4.43614E-11	
3470	1.72251E-10	
3480	3.09375E-11	
3490	6.76287E-11	
3500	8.16898E-11	
3510	1.84047E-11	
3520	4.14211E-11	
3530	6.90267E-11	
3540	5.26723E-11	
3550	9.08939E-11	
3560	6.33203E-11	
3570	3.35138E-12	
3580	4.87913E-11	
3590	3.11591E-11	
3600	2.16731E-10	
3610	5.20935E-12	
3620	5.99393E-13	
3630	1.46759E-11	
3640	6.97764E-11	
3650	7.25681E-12	
3660	2.01383E-11	
3670	5.9488E-11	
3680	3.24281E-14	
3690	2.80537E-11	
3700	3.35827E-11	
3710	9.58624E-11	
3720	1.38442E-11	
3730	2.68754E-10	
3740	2.10249E-11	
3750	6.70967E-11	
3760	7.53256E-12	
3770	1.16953E-10	
3780	3.33094E-11	
3790	1.35376E-10	
3800	9.47668E-13	
3810	1.1601E-10	
3820	5.15023E-11	
3830	4.78564E-11	
3840	1.09791E-11	
3850	4.96558E-11	
3860	2.11992E-11	
3870	3.65225E-12	
3880	4.31344E-11	
3890	9.84784E-12	
3900	7.80503E-11	
3910	1.24607E-10	
3920	1.58686E-10	
3930	3.27924E-11	
3940	2.09133E-10	
3950	1.73406E-10	
3960	4.0852E-11	
3970	6.15193E-11	
3980	3.59324E-11	
3990	1.02838E-10	
4000	2.42336E-10	
4010	8.02941E-11	
4020	2.13053E-11	
4030	2.73067E-11	
4040	6.25213E-12	
4050	5.04086E-11	
4060	1.7472E-11	
4070	3.7473E-12	
4080	1.59175E-11	
4090	7.94911E-11	
4100	9.32794E-12	
4110	3.99331E-11	
4120	6.93612E-12	
4130	3.86188E-10	
4140	1.30271E-10	
4150	1.71468E-11	
4160	3.96361E-11	
4170	5.6203E-12	
4180	1.56154E-12	
4190	1.76462E-11	
4200	2.61448E-11	
4210	2.4282E-10	
4220	5.22333E-11	
4230	1.23665E-10	
4240	9.42962E-12	
4250	6.73519E-11	
4260	1.05723E-12	
4270	1.34626E-11	
4280	6.35383E-11	
4290	1.33084E-10	
4300	3.40162E-12	
4310	2.24315E-11	
4320	9.3439E-11	
4330	1.79837E-10	
4340	1.17647E-10	
4350	7.40236E-11	
4360	6.32272E-11	
4370	4.98978E-11	
4380	4.26221E-11	
4390	8.91542E-11	
4400	9.44871E-11	
4410	5.69081E-11	
4420	1.16744E-10	
4430	1.62471E-10	
4440	1.08593E-10	
4450	5.23384E-11	
4460	5.34899E-11	
4470	1.30685E-11	
4480	5.1852E-11	
4490	1.27157E-10	
4500	4.69783E-12	
4510	4.05937E-11	
4520	5.56186E-11	
4530	1.29699E-11	
4540	7.21429E-11	
4550	1.91256E-11	
4560	2.98852E-11	
4570	3.36925E-11	
4580	1.32114E-12	
4590	8.82013E-11	
4600	1.21252E-11	
4610	1.60478E-10	
4620	1.68189E-11	
4630	6.77406E-12	
4640	4.21959E-11	
4650	2.26821E-11	
4660	5.13391E-12	
4670	1.88937E-11	
4680	4.74166E-11	
4690	5.48238E-11	
4700	5.1566E-11	
4710	7.64068E-12	
4720	6.6544E-11	
4730	2.48877E-10	
4740	3.26676E-11	
4750	1.8383E-11	
4760	2.22544E-10	
4770	8.92093E-11	
4780	6.78384E-11	
4790	2.16554E-11	
4800	3.52969E-11	
4810	1.03834E-10	
4820	2.53886E-10	
4830	6.34666E-12	
4840	2.00418E-11	
4850	1.55768E-11	
4860	7.4145E-11	
4870	6.39791E-12	
4880	1.10254E-10	
4890	8.12015E-11	
4900	3.28516E-11	
4910	1.25303E-10	
4920	1.9635E-11	
4930	8.09159E-11	
4940	1.78957E-10	
4950	1.88339E-10	
4960	1.52482E-11	
4970	7.66907E-11	
4980	1.34526E-10	
4990	3.04957E-12	
