Time [s] - Voltage_0 (Filtered)	Amplitude [V] - Voltage_0 (Filtered)	
0.0231	0.000266067	
0.0232	0.00026581	
0.0233	0.000265546	
0.0234	0.000265277	
0.0235	0.000265003	
0.0236	0.000264725	
0.0237	0.000264445	
0.0238	0.000264163	
0.0239	0.000263879	
0.024	0.000263596	
0.0241	0.000263312	
0.0242	0.00026303	
0.0243	0.000262748	
0.0244	0.000262469	
0.0245	0.000262191	
0.0246	0.000261916	
0.0247	0.000261644	
0.0248	0.000261374	
0.0249	0.000261107	
0.025	0.000260843	
0.0251	0.000260581	
0.0252	0.000260323	
0.0253	0.000260067	
0.0254	0.000259813	
0.0255	0.000259562	
0.0256	0.000259312	
0.0257	0.000259064	
0.0258	0.000258818	
0.0259	0.000258573	
0.026	0.000258328	
0.0261	0.000258084	
0.0262	0.00025784	
0.0263	0.000257596	
0.0264	0.000257352	
0.0265	0.000257107	
0.0266	0.000256861	
0.0267	0.000256615	
0.0268	0.000256367	
0.0269	0.000256118	
0.027	0.000255868	
0.0271	0.000255617	
0.0272	0.000255365	
0.0273	0.000255112	
0.0274	0.000254858	
0.0275	0.000254604	
0.0276	0.000254349	
0.0277	0.000254095	
0.0278	0.000253842	
0.0279	0.000253591	
0.028	0.000253341	
0.0281	0.000253095	
0.0282	0.000252851	
0.0283	0.000252612	
0.0284	0.000252378	
0.0285	0.00025215	
0.0286	0.000251929	
0.0287	0.000251715	
0.0288	0.000251511	
0.0289	0.000251316	
0.029	0.000251132	
0.0291	0.000250961	
0.0292	0.000250802	
0.0293	0.000250657	
0.0294	0.000250527	
0.0295	0.000250414	
0.0296	0.000250317	
0.0297	0.000250239	
0.0298	0.000250179	
0.0299	0.000250139	
0.03	0.00025012	
0.0301	0.000250122	
0.0302	0.000250145	
0.0303	0.000250192	
0.0304	0.000250261	
0.0305	0.000250354	
0.0306	0.00025047	
0.0307	0.00025061	
0.0308	0.000250775	
0.0309	0.000250963	
0.031	0.000251175	
0.0311	0.000251411	
0.0312	0.00025167	
0.0313	0.000251952	
0.0314	0.000252256	
0.0315	0.000252582	
0.0316	0.000252928	
0.0317	0.000253295	
0.0318	0.00025368	
0.0319	0.000254083	
0.032	0.000254503	
0.0321	0.000254938	
0.0322	0.000255386	
0.0323	0.000255847	
0.0324	0.000256318	
0.0325	0.000256798	
0.0326	0.000257286	
0.0327	0.000257778	
0.0328	0.000258275	
0.0329	0.000258772	
0.033	0.000259269	
0.0331	0.000259764	
0.0332	0.000260254	
0.0333	0.000260738	
0.0334	0.000261213	
0.0335	0.000261677	
0.0336	0.000262128	
0.0337	0.000262564	
0.0338	0.000262983	
0.0339	0.000263383	
0.034	0.000263762	
0.0341	0.000264118	
0.0342	0.000264449	
0.0343	0.000264753	
0.0344	0.000265029	
0.0345	0.000265275	
0.0346	0.000265489	
0.0347	0.000265669	
0.0348	0.000265815	
0.0349	0.000265925	
0.035	0.000265998	
0.0351	0.000266033	
0.0352	0.000266028	
0.0353	0.000265983	
0.0354	0.000265898	
0.0355	0.000265771	
0.0356	0.000265602	
0.0357	0.000265392	
0.0358	0.000265139	
0.0359	0.000264843	
0.036	0.000264506	
0.0361	0.000264127	
0.0362	0.000263705	
0.0363	0.000263243	
0.0364	0.000262741	
0.0365	0.000262198	
0.0366	0.000261617	
0.0367	0.000260999	
0.0368	0.000260343	
0.0369	0.000259653	
0.037	0.000258928	
0.0371	0.000258171	
0.0372	0.000257384	
0.0373	0.000256567	
0.0374	0.000255724	
0.0375	0.000254855	
0.0376	0.000253963	
0.0377	0.00025305	
0.0378	0.000252118	
0.0379	0.00025117	
0.038	0.000250207	
0.0381	0.000249233	
0.0382	0.000248249	
0.0383	0.000247258	
0.0384	0.000246262	
0.0385	0.000245265	
0.0386	0.000244269	
0.0387	0.000243276	
0.0388	0.000242289	
0.0389	0.00024131	
0.039	0.000240344	
0.0391	0.000239391	
0.0392	0.000238454	
0.0393	0.000237537	
0.0394	0.000236642	
0.0395	0.000235771	
0.0396	0.000234927	
0.0397	0.000234112	
0.0398	0.000233329	
0.0399	0.00023258	
0.04	0.000231867	
0.0401	0.000231192	
0.0402	0.000230559	
0.0403	0.000229967	
0.0404	0.000229421	
0.0405	0.00022892	
0.0406	0.000228467	
0.0407	0.000228064	
0.0408	0.000227712	
0.0409	0.000227412	
0.041	0.000227165	
0.0411	0.000226973	
0.0412	0.000226836	
0.0413	0.000226755	
0.0414	0.00022673	
0.0415	0.000226762	
0.0416	0.000226852	
0.0417	0.000226998	
0.0418	0.000227201	
0.0419	0.000227461	
0.042	0.000227777	
0.0421	0.000228148	
0.0422	0.000228574	
0.0423	0.000229053	
0.0424	0.000229585	
0.0425	0.000230167	
0.0426	0.000230799	
0.0427	0.000231479	
0.0428	0.000232204	
0.0429	0.000232973	
0.043	0.000233784	
0.0431	0.000234633	
0.0432	0.000235519	
0.0433	0.000236439	
0.0434	0.00023739	
0.0435	0.00023837	
0.0436	0.000239374	
0.0437	0.000240401	
0.0438	0.000241448	
0.0439	0.000242509	
0.044	0.000243584	
0.0441	0.000244668	
0.0442	0.000245757	
0.0443	0.000246849	
0.0444	0.00024794	
0.0445	0.000249027	
0.0446	0.000250107	
0.0447	0.000251175	
0.0448	0.000252229	
0.0449	0.000253266	
0.045	0.000254282	
0.0451	0.000255274	
0.0452	0.00025624	
0.0453	0.000257177	
0.0454	0.000258082	
0.0455	0.000258952	
0.0456	0.000259786	
0.0457	0.000260581	
0.0458	0.000261335	
0.0459	0.000262046	
0.046	0.000262712	
0.0461	0.000263333	
0.0462	0.000263907	
0.0463	0.000264433	
0.0464	0.000264911	
0.0465	0.000265339	
0.0466	0.000265718	
0.0467	0.000266047	
0.0468	0.000266327	
0.0469	0.000266558	
0.047	0.000266741	
0.0471	0.000266876	
0.0472	0.000266965	
0.0473	0.000267009	
0.0474	0.00026701	
0.0475	0.000266969	
0.0476	0.000266888	
0.0477	0.00026677	
0.0478	0.000266616	
0.0479	0.000266429	
0.048	0.000266212	
0.0481	0.000265968	
0.0482	0.000265699	
0.0483	0.000265408	
0.0484	0.000265099	
0.0485	0.000264774	
0.0486	0.000264437	
0.0487	0.000264091	
0.0488	0.00026374	
0.0489	0.000263386	
0.049	0.000263034	
0.0491	0.000262686	
0.0492	0.000262346	
0.0493	0.000262018	
0.0494	0.000261703	
0.0495	0.000261406	
0.0496	0.00026113	
0.0497	0.000260877	
0.0498	0.00026065	
0.0499	0.000260453	
0.05	0.000260287	
0.0501	0.000260154	
0.0502	0.000260059	
0.0503	0.000260001	
0.0504	0.000259984	
0.0505	0.000260009	
0.0506	0.000260076	
0.0507	0.000260189	
0.0508	0.000260347	
0.0509	0.000260552	
0.051	0.000260804	
0.0511	0.000261103	
0.0512	0.00026145	
0.0513	0.000261845	
0.0514	0.000262287	
0.0515	0.000262776	
0.0516	0.00026331	
0.0517	0.00026389	
0.0518	0.000264513	
0.0519	0.000265179	
0.052	0.000265885	
0.0521	0.00026663	
0.0522	0.000267412	
0.0523	0.000268228	
0.0524	0.000269076	
0.0525	0.000269954	
0.0526	0.000270858	
0.0527	0.000271786	
0.0528	0.000272734	
0.0529	0.0002737	
0.053	0.00027468	
0.0531	0.000275671	
0.0532	0.00027667	
0.0533	0.000277672	
0.0534	0.000278674	
0.0535	0.000279673	
0.0536	0.000280665	
0.0537	0.000281646	
0.0538	0.000282612	
0.0539	0.000283561	
0.054	0.000284488	
0.0541	0.00028539	
0.0542	0.000286263	
0.0543	0.000287105	
0.0544	0.000287912	
0.0545	0.00028868	
0.0546	0.000289407	
0.0547	0.000290089	
0.0548	0.000290725	
0.0549	0.000291312	
0.055	0.000291846	
0.0551	0.000292326	
0.0552	0.000292751	
0.0553	0.000293117	
0.0554	0.000293424	
0.0555	0.00029367	
0.0556	0.000293853	
0.0557	0.000293973	
0.0558	0.00029403	
