Frequency [Hz] - Voltage_0 (FFT - (Peak))	Peak Magnitude [V] - Voltage_0 (FFT - (Peak))	
2700	2.12103E-8	
2710	2.11516E-8	
2720	2.10934E-8	
2730	2.10357E-8	
2740	2.09786E-8	
2750	2.0922E-8	
2760	2.08659E-8	
2770	2.08103E-8	
2780	2.07552E-8	
2790	2.07006E-8	
2800	2.06465E-8	
2810	2.05929E-8	
2820	2.05398E-8	
2830	2.04871E-8	
2840	2.04349E-8	
2850	2.03832E-8	
2860	2.0332E-8	
2870	2.02812E-8	
2880	2.02308E-8	
2890	2.01809E-8	
2900	2.01315E-8	
2910	2.00824E-8	
2920	2.00339E-8	
2930	1.99857E-8	
2940	1.9938E-8	
2950	1.98907E-8	
2960	1.98439E-8	
2970	1.97974E-8	
2980	1.97514E-8	
2990	1.97057E-8	
3000	1.96605E-8	
3010	1.96157E-8	
3020	1.95712E-8	
3030	1.95272E-8	
3040	1.94836E-8	
3050	1.94403E-8	
3060	1.93974E-8	
3070	1.93549E-8	
3080	1.93128E-8	
3090	1.92711E-8	
3100	1.92297E-8	
3110	1.91887E-8	
3120	1.91481E-8	
3130	1.91078E-8	
3140	1.90679E-8	
3150	1.90283E-8	
3160	1.89891E-8	
3170	1.89502E-8	
3180	1.89117E-8	
3190	1.88735E-8	
3200	1.88357E-8	
3210	1.87982E-8	
3220	1.8761E-8	
3230	1.87242E-8	
3240	1.86877E-8	
3250	1.86515E-8	
3260	1.86156E-8	
3270	1.85801E-8	
3280	1.85449E-8	
3290	1.851E-8	
3300	1.84754E-8	
3310	1.84411E-8	
3320	1.84072E-8	
3330	1.83735E-8	
3340	1.83401E-8	
3350	1.83071E-8	
3360	1.82743E-8	
3370	1.82419E-8	
3380	1.82097E-8	
3390	1.81779E-8	
3400	1.81463E-8	
3410	1.8115E-8	
3420	1.8084E-8	
3430	1.80533E-8	
3440	1.80229E-8	
3450	1.79927E-8	
3460	1.79628E-8	
3470	1.79332E-8	
3480	1.79039E-8	
3490	1.78749E-8	
3500	1.78461E-8	
3510	1.78176E-8	
3520	1.77893E-8	
3530	1.77613E-8	
3540	1.77336E-8	
3550	1.77062E-8	
3560	1.7679E-8	
3570	1.7652E-8	
3580	1.76254E-8	
3590	1.75989E-8	
3600	1.75728E-8	
3610	1.75468E-8	
3620	1.75212E-8	
3630	1.74957E-8	
3640	1.74706E-8	
3650	1.74456E-8	
3660	1.74209E-8	
3670	1.73965E-8	
3680	1.73723E-8	
3690	1.73483E-8	
3700	1.73246E-8	
3710	1.73011E-8	
3720	1.72778E-8	
3730	1.72548E-8	
3740	1.7232E-8	
3750	1.72094E-8	
3760	1.71871E-8	
3770	1.7165E-8	
3780	1.71431E-8	
3790	1.71214E-8	
3800	1.71E-8	
3810	1.70788E-8	
3820	1.70578E-8	
3830	1.7037E-8	
3840	1.70165E-8	
3850	1.69961E-8	
3860	1.6976E-8	
3870	1.69561E-8	
3880	1.69364E-8	
3890	1.69169E-8	
3900	1.68977E-8	
3910	1.68786E-8	
3920	1.68598E-8	
3930	1.68411E-8	
3940	1.68227E-8	
3950	1.68045E-8	
3960	1.67865E-8	
3970	1.67687E-8	
3980	1.6751E-8	
3990	1.67336E-8	
4000	1.67164E-8	
4010	1.66994E-8	
4020	1.66826E-8	
4030	1.6666E-8	
4040	1.66496E-8	
4050	1.66334E-8	
4060	1.66174E-8	
4070	1.66015E-8	
