Time[s] - Voltage	Amplitude [V] - Voltage	
0.0278	2.78752	
0.0279	2.78818	
0.028	2.7885	
0.0281	2.78818	
0.0282	2.7872	
0.0283	2.78818	
0.0284	2.78883	
0.0285	2.78818	
0.0286	2.78883	
0.0287	2.78818	
0.0288	2.78785	
0.0289	2.78883	
0.029	2.78785	
0.0291	2.78752	
0.0292	2.7885	
0.0293	2.78981	
0.0294	2.78752	
0.0295	2.78818	
0.0296	2.78948	
0.0297	2.78883	
0.0298	2.7872	
0.0299	2.78752	
0.03	2.78883	
0.0301	2.7885	
0.0302	2.78948	
0.0303	2.7885	
0.0304	2.7885	
0.0305	2.78883	
0.0306	2.7885	
0.0307	2.78883	
0.0308	2.78915	
0.0309	2.78883	
0.031	2.78948	
0.0311	2.78883	
0.0312	2.7885	
0.0313	2.78883	
0.0314	2.78981	
0.0315	2.78948	
0.0316	2.78883	
0.0317	2.78883	
0.0318	2.78948	
0.0319	2.78915	
0.032	2.78915	
0.0321	2.78883	
0.0322	2.78915	
0.0323	2.79111	
0.0324	2.7885	
0.0325	2.79046	
0.0326	2.78883	
0.0327	2.78883	
0.0328	2.78948	
0.0329	-2.77495	
0.033	-2.77202	
0.0331	-2.76973	
0.0332	-2.77006	
0.0333	-2.76908	
0.0334	-2.76843	
0.0335	-2.76941	
0.0336	-2.76908	
0.0337	-2.76908	
0.0338	-2.76843	
0.0339	-2.76973	
0.034	-2.77071	
0.0341	-2.76876	
0.0342	-2.76941	
0.0343	-2.76973	
0.0344	-2.76876	
0.0345	-2.76941	
0.0346	-2.76876	
0.0347	-2.76908	
0.0348	-2.77006	
0.0349	-2.76973	
0.035	-2.76973	
0.0351	-2.7681	
0.0352	-2.76973	
0.0353	-2.76941	
0.0354	-2.77039	
0.0355	-2.77071	
0.0356	-2.77006	
0.0357	-2.76876	
0.0358	-2.76973	
0.0359	-2.76876	
0.036	-2.77039	
0.0361	-2.76941	
0.0362	-2.76941	
0.0363	-2.76941	
0.0364	-2.77039	
0.0365	-2.76941	
0.0366	-2.76941	
0.0367	-2.77006	
0.0368	-2.77039	
0.0369	-2.77169	
0.037	-2.77006	
0.0371	-2.77039	
0.0372	-2.76876	
0.0373	-2.77039	
0.0374	-2.76973	
0.0375	-2.77071	
0.0376	-2.77104	
0.0377	-2.77071	
0.0378	-2.77006	
0.0379	-2.77039	
0.038	-2.76973	
0.0381	-2.77006	
0.0382	-2.77039	
0.0383	-2.77071	
