Frequency (Hz) - Left Channel (Power Spectrum)	Amplitude - Left Channel (Power Spectrum)	Frequency (Hz) - Right Channel (Power Spectrum)	Amplitude - Right Channel (Power Spectrum)	
330.666667	2.5326E-6	330.666667	5.73136E-8	
333.333333	4.13603E-8	333.333333	2.73153E-7	
336	1.03142E-8	336	2.89598E-8	
338.666667	3.21973E-7	338.666667	9.06645E-8	
341.333333	1.73927E-7	341.333333	1.25382E-7	
344	3.16104E-8	344	1.71375E-8	
346.666667	5.01175E-8	346.666667	2.60494E-8	
349.333333	4.06255E-8	349.333333	2.42804E-8	
352	1.17526E-7	352	3.83521E-8	
354.666667	2.18491E-10	354.666667	6.7976E-8	
357.333333	6.59221E-8	357.333333	2.71168E-9	
360	3.96516E-7	360	3.57577E-7	
362.666667	3.38264E-7	362.666667	3.25176E-7	
365.333333	2.28507E-7	365.333333	2.8445E-7	
368	2.03996E-6	368	5.66193E-7	
370.666667	9.63242E-7	370.666667	9.0669E-7	
373.333333	1.30882E-6	373.333333	8.20921E-7	
376	1.27635E-9	376	4.00932E-7	
378.666667	3.82308E-8	378.666667	2.69773E-7	
381.333333	7.02757E-8	381.333333	2.64577E-8	
384	1.97605E-7	384	4.17724E-8	
386.666667	1.43024E-7	386.666667	3.64962E-8	
389.333333	1.98044E-7	389.333333	9.16236E-8	
392	8.44788E-7	392	8.14048E-8	
394.666667	1.0234E-6	394.666667	3.30968E-8	
397.333333	5.61148E-7	397.333333	2.68972E-7	
400	5.64858E-8	400	4.95759E-7	
402.666667	1.7056E-6	402.666667	7.19147E-8	
405.333333	1.8452E-6	405.333333	8.75072E-9	
408	9.34111E-8	408	2.53459E-7	
410.666667	1.74316E-6	410.666667	6.38774E-7	
413.333333	1.80593E-6	413.333333	6.87103E-7	
416	1.98872E-6	416	3.17414E-6	
418.666667	8.17815E-7	418.666667	2.71402E-7	
421.333333	1.76565E-7	421.333333	7.11174E-7	
424	8.85316E-8	424	1.15187E-6	
426.666667	1.01254E-7	426.666667	7.73119E-7	
429.333333	3.2621E-7	429.333333	2.3584E-6	
432	5.12942E-8	432	1.43439E-6	
434.666667	5.25637E-7	434.666667	3.29879E-6	
437.333333	1.92864E-7	437.333333	1.53865E-6	
440	9.93309E-7	440	1.92817E-6	
442.666667	1.2004E-7	442.666667	6.79356E-7	
445.333333	1.47048E-7	445.333333	6.90647E-7	
448	3.38175E-9	448	3.74825E-7	
450.666667	3.69082E-7	450.666667	1.48283E-6	
453.333333	2.11043E-7	453.333333	1.0817E-6	
456	3.28292E-8	456	3.04824E-7	
458.666667	5.61254E-8	458.666667	1.82687E-7	
461.333333	1.07904E-8	461.333333	2.82982E-7	
464	2.44089E-7	464	1.54501E-6	
466.666667	3.34839E-8	466.666667	6.25213E-7	
469.333333	3.46676E-7	469.333333	1.55589E-7	
472	1.68438E-7	472	4.26774E-7	
474.666667	1.03805E-7	474.666667	1.38671E-6	
477.333333	4.46722E-7	477.333333	5.02947E-7	
480	5.8604E-7	480	7.67326E-11	
482.666667	7.03705E-7	482.666667	1.94434E-7	
485.333333	7.1E-7	485.333333	5.2473E-6	
488	2.46627E-7	488	3.08863E-7	
490.666667	2.3611E-8	490.666667	3.50262E-6	
493.333333	1.16955E-5	493.333333	6.53049E-6	
496	1.04872E-5	496	2.25058E-5	
498.666667	2.12899E-6	498.666667	2.5603E-6	
501.333333	9.71978E-7	501.333333	6.43667E-8	
504	1.52999E-7	504	1.23269E-6	
506.666667	4.5751E-7	506.666667	5.02456E-7	
509.333333	1.75895E-7	509.333333	5.87417E-7	
512	2.15632E-6	512	1.05815E-7	
514.666667	2.24941E-7	514.666667	7.0983E-7	
517.333333	1.18792E-6	517.333333	1.00704E-6	
520	1.19796E-6	520	1.77771E-6	
522.666667	1.49532E-6	522.666667	9.67323E-8	
525.333333	8.91258E-7	525.333333	3.15046E-6	
528	1.06369E-6	528	4.05044E-6	
530.666667	4.97725E-6	530.666667	9.78636E-6	
533.333333	1.57215E-5	533.333333	1.09133E-5	
536	2.01063E-6	536	5.75451E-7	
538.666667	1.21347E-6	538.666667	6.17504E-6	
541.333333	2.01133E-5	541.333333	2.06904E-5	
544	8.49668E-6	544	1.42046E-6	
546.666667	2.05378E-5	546.666667	5.34263E-5	
549.333333	0.00017912	549.333333	3.63309E-5	
552	1.15986E-6	552	4.07391E-9	
554.666667	7.91394E-6	554.666667	1.24509E-5	
557.333333	0.000161713	557.333333	0.000106846	
560	3.92065E-5	560	1.86041E-5	
562.666667	1.23652E-5	562.666667	2.20763E-5	
565.333333	8.04091E-5	565.333333	0.00012032	
568	6.11348E-6	568	4.96226E-6	
570.666667	4.10721E-6	570.666667	3.12582E-6	
573.333333	2.70834E-5	573.333333	3.46692E-6	
576	4.68171E-7	576	4.28765E-6	
