Frequency [Hz] - Voltage_0 (FFT - (Peak))	Peak Magnitude [V] - Voltage_0 (FFT - (Peak))	
2700	1.05141E-7	
2710	1.04851E-7	
2720	1.04564E-7	
2730	1.04279E-7	
2740	1.03996E-7	
2750	1.03717E-7	
2760	1.03439E-7	
2770	1.03165E-7	
2780	1.02892E-7	
2790	1.02622E-7	
2800	1.02355E-7	
2810	1.0209E-7	
2820	1.01827E-7	
2830	1.01567E-7	
2840	1.01309E-7	
2850	1.01053E-7	
2860	1.008E-7	
2870	1.00549E-7	
2880	1.003E-7	
2890	1.00053E-7	
2900	9.98087E-8	
2910	9.95664E-8	
2920	9.93262E-8	
2930	9.90882E-8	
2940	9.88523E-8	
2950	9.86184E-8	
2960	9.83867E-8	
2970	9.8157E-8	
2980	9.79293E-8	
2990	9.77037E-8	
3000	9.748E-8	
3010	9.72583E-8	
3020	9.70386E-8	
3030	9.68208E-8	
3040	9.6605E-8	
3050	9.63911E-8	
3060	9.6179E-8	
3070	9.59689E-8	
3080	9.57606E-8	
3090	9.55541E-8	
3100	9.53495E-8	
3110	9.51467E-8	
3120	9.49457E-8	
3130	9.47465E-8	
3140	9.4549E-8	
3150	9.43533E-8	
3160	9.41593E-8	
3170	9.3967E-8	
3180	9.37765E-8	
3190	9.35876E-8	
3200	9.34005E-8	
3210	9.3215E-8	
3220	9.30311E-8	
3230	9.28489E-8	
3240	9.26683E-8	
3250	9.24893E-8	
3260	9.23119E-8	
3270	9.21361E-8	
3280	9.19619E-8	
3290	9.17893E-8	
3300	9.16182E-8	
3310	9.14486E-8	
3320	9.12806E-8	
3330	9.11141E-8	
3340	9.0949E-8	
3350	9.07855E-8	
3360	9.06235E-8	
3370	9.04629E-8	
3380	9.03038E-8	
3390	9.01461E-8	
3400	8.99899E-8	
3410	8.98351E-8	
3420	8.96817E-8	
3430	8.95297E-8	
3440	8.93791E-8	
3450	8.92299E-8	
3460	8.90821E-8	
3470	8.89356E-8	
3480	8.87905E-8	
3490	8.86467E-8	
3500	8.85043E-8	
3510	8.83632E-8	
3520	8.82234E-8	
3530	8.8085E-8	
3540	8.79478E-8	
3550	8.78119E-8	
3560	8.76774E-8	
3570	8.7544E-8	
3580	8.7412E-8	
3590	8.72812E-8	
3600	8.71517E-8	
3610	8.70234E-8	
3620	8.68963E-8	
3630	8.67705E-8	
3640	8.66459E-8	
3650	8.65225E-8	
3660	8.64003E-8	
3670	8.62793E-8	
3680	8.61594E-8	
3690	8.60408E-8	
3700	8.59233E-8	
3710	8.58071E-8	
3720	8.56919E-8	
3730	8.55779E-8	
3740	8.54651E-8	
3750	8.53534E-8	
3760	8.52428E-8	
3770	8.51334E-8	
3780	8.50251E-8	
3790	8.49179E-8	
3800	8.48118E-8	
3810	8.47068E-8	
3820	8.46028E-8	
3830	8.45E-8	
3840	8.43983E-8	
3850	8.42976E-8	
3860	8.4198E-8	
3870	8.40995E-8	
3880	8.4002E-8	
3890	8.39056E-8	
3900	8.38103E-8	
3910	8.37159E-8	
3920	8.36227E-8	
3930	8.35304E-8	
3940	8.34392E-8	
3950	8.3349E-8	
3960	8.32598E-8	
3970	8.31716E-8	
3980	8.30844E-8	
3990	8.29982E-8	
4000	8.29131E-8	
4010	8.28289E-8	
4020	8.27457E-8	
4030	8.26635E-8	
4040	8.25822E-8	
4050	8.2502E-8	
4060	8.24227E-8	
4070	8.23443E-8	
4080	8.2267E-8	
4090	8.21906E-8	
4100	8.21151E-8	
4110	8.20406E-8	
4120	8.1967E-8	
4130	8.18944E-8	
4140	8.18227E-8	
4150	8.17519E-8	
4160	8.16821E-8	
4170	8.16132E-8	
4180	8.15452E-8	
4190	8.14781E-8	
4200	8.1412E-8	
4210	8.13467E-8	
4220	8.12824E-8	
4230	8.12189E-8	
4240	8.11564E-8	
4250	8.10948E-8	
4260	8.1034E-8	
4270	8.09742E-8	
4280	8.09152E-8	
4290	8.08571E-8	
4300	8.07999E-8	
4310	8.07436E-8	
4320	8.06881E-8	
4330	8.06335E-8	
4340	8.05798E-8	
4350	8.0527E-8	
4360	8.0475E-8	
4370	8.04238E-8	
4380	8.03736E-8	
4390	8.03242E-8	
4400	8.02756E-8	
4410	8.02279E-8	
4420	8.0181E-8	
4430	8.0135E-8	
4440	8.00899E-8	
4450	8.00455E-8	
4460	8.0002E-8	
4470	7.99594E-8	
4480	7.99176E-8	
4490	7.98766E-8	
4500	7.98364E-8	
4510	7.97971E-8	
4520	7.97586E-8	
4530	7.97209E-8	
4540	7.9684E-8	
4550	7.9648E-8	
4560	7.96128E-8	
4570	7.95784E-8	
4580	7.95448E-8	
4590	7.9512E-8	
4600	7.948E-8	
4610	7.94489E-8	
4620	7.94185E-8	
4630	7.9389E-8	
4640	7.93603E-8	
4650	7.93323E-8	
4660	7.93052E-8	
4670	7.92789E-8	
4680	7.92534E-8	
4690	7.92286E-8	
4700	7.92047E-8	
4710	7.91816E-8	
4720	7.91592E-8	
4730	7.91377E-8	
4740	7.91169E-8	
4750	7.9097E-8	
4760	7.90778E-8	
4770	7.90594E-8	
4780	7.90418E-8	
4790	7.9025E-8	
4800	7.9009E-8	
4810	7.89938E-8	
4820	7.89793E-8	
4830	7.89657E-8	
4840	7.89528E-8	
4850	7.89407E-8	
4860	7.89294E-8	
4870	7.89189E-8	
4880	7.89091E-8	
4890	7.89001E-8	
4900	7.8892E-8	
4910	7.88846E-8	
4920	7.88779E-8	
4930	7.88721E-8	
4940	7.8867E-8	
4950	7.88628E-8	
4960	7.88592E-8	
4970	7.88565E-8	
4980	7.88546E-8	
4990	7.88534E-8	
