Frequency (Hz) - Left Channel (Power Spectrum)	Amplitude - Left Channel (Power Spectrum)	Frequency (Hz) - Right Channel (Power Spectrum)	Amplitude - Right Channel (Power Spectrum)	
330.666667	3.68766E-5	330.666667	1.56536E-6	
333.333333	2.33287E-6	333.333333	3.39122E-6	
336	2.44658E-6	336	1.64023E-6	
338.666667	1.11537E-6	338.666667	4.52319E-6	
341.333333	4.83572E-8	341.333333	3.10001E-7	
344	2.35674E-7	344	1.30304E-7	
346.666667	6.20198E-7	346.666667	4.39198E-7	
349.333333	3.66781E-7	349.333333	6.17529E-9	
352	9.76829E-7	352	1.89318E-7	
354.666667	4.81875E-7	354.666667	1.71047E-7	
357.333333	3.04701E-7	357.333333	4.012E-7	
360	2.92411E-7	360	1.60756E-7	
362.666667	9.85592E-7	362.666667	1.82685E-7	
365.333333	1.94031E-6	365.333333	6.54348E-8	
368	1.5658E-6	368	1.56445E-6	
370.666667	1.55706E-5	370.666667	1.36308E-6	
373.333333	6.78333E-7	373.333333	1.14807E-6	
376	1.13895E-6	376	1.09891E-8	
378.666667	3.98115E-7	378.666667	4.14652E-7	
381.333333	6.11102E-7	381.333333	1.3193E-9	
384	1.16089E-7	384	1.41704E-7	
386.666667	2.99677E-7	386.666667	1.65214E-7	
389.333333	7.15243E-8	389.333333	3.24728E-7	
392	9.3701E-8	392	1.07544E-7	
394.666667	2.41184E-7	394.666667	1.04467E-6	
397.333333	3.79482E-8	397.333333	1.53843E-8	
400	2.03085E-7	400	1.41378E-6	
402.666667	7.61028E-8	402.666667	2.51094E-7	
405.333333	7.93953E-7	405.333333	7.76208E-7	
408	7.19679E-8	408	7.06316E-7	
410.666667	1.78922E-7	410.666667	4.74719E-7	
413.333333	1.14958E-6	413.333333	3.42872E-6	
416	1.77873E-6	416	4.43233E-7	
418.666667	7.53717E-7	418.666667	2.31495E-7	
421.333333	1.88321E-7	421.333333	2.90942E-7	
424	5.16497E-8	424	2.44578E-7	
426.666667	7.25797E-8	426.666667	4.01783E-8	
429.333333	7.93702E-8	429.333333	3.30782E-7	
432	9.67209E-8	432	1.51498E-7	
434.666667	3.91702E-9	434.666667	9.04983E-8	
437.333333	1.88633E-9	437.333333	1.27059E-7	
440	2.9703E-7	440	2.90488E-8	
442.666667	1.18001E-8	442.666667	7.98554E-9	
445.333333	1.39254E-7	445.333333	1.26365E-7	
448	1.52926E-7	448	1.00372E-7	
450.666667	1.10475E-8	450.666667	1.20101E-7	
453.333333	8.61045E-8	453.333333	1.67287E-7	
456	1.68116E-9	456	8.25015E-9	
458.666667	1.58597E-8	458.666667	8.61381E-8	
461.333333	2.19755E-7	461.333333	5.75827E-7	
464	6.21016E-8	464	1.92557E-7	
466.666667	7.23943E-8	466.666667	3.14845E-7	
469.333333	2.74231E-7	469.333333	2.90556E-7	
472	4.52519E-7	472	2.40297E-7	
474.666667	2.3101E-7	474.666667	3.84088E-7	
477.333333	1.61659E-7	477.333333	5.13421E-7	
480	3.99323E-7	480	6.59995E-7	
482.666667	4.9428E-7	482.666667	1.04164E-7	
485.333333	3.97483E-7	485.333333	4.93105E-7	
488	7.66583E-7	488	8.79792E-7	
490.666667	1.72757E-6	490.666667	1.41723E-7	
493.333333	3.54792E-6	493.333333	5.16007E-6	
496	4.24627E-7	496	2.86013E-6	
498.666667	1.13298E-6	498.666667	2.92477E-6	
501.333333	8.01645E-7	501.333333	2.27934E-7	
504	7.03041E-7	504	1.02879E-6	
506.666667	2.6777E-8	506.666667	5.65315E-7	
509.333333	1.00436E-7	509.333333	1.39236E-6	
512	1.43693E-8	512	7.3164E-7	
514.666667	3.67795E-7	514.666667	2.97284E-6	
517.333333	3.09227E-7	517.333333	1.51439E-6	
520	2.53288E-7	520	2.03936E-7	
522.666667	1.50243E-6	522.666667	2.46485E-6	
525.333333	3.50548E-6	525.333333	8.3356E-7	
528	5.83968E-7	528	1.99363E-6	
530.666667	2.26387E-6	530.666667	3.59687E-6	
533.333333	4.18749E-6	533.333333	2.08597E-6	
536	7.07599E-7	536	2.40246E-7	
538.666667	5.41677E-8	538.666667	1.18034E-6	
541.333333	1.01362E-6	541.333333	5.22432E-7	
544	1.82394E-6	544	1.07402E-8	
546.666667	2.15291E-6	546.666667	1.1155E-6	
549.333333	2.15739E-6	549.333333	3.30695E-6	
552	1.74033E-6	552	4.19425E-6	
554.666667	5.27715E-7	554.666667	4.62893E-6	
557.333333	1.2555E-6	557.333333	2.7093E-7	
560	3.32276E-7	560	7.08896E-7	
562.666667	2.30395E-6	562.666667	4.36202E-7	
565.333333	2.0114E-6	565.333333	2.87733E-6	
568	6.81775E-7	568	2.36867E-8	
570.666667	1.77423E-8	570.666667	1.62412E-6	
573.333333	2.73636E-8	573.333333	8.34735E-7	
576	2.38222E-6	576	1.12271E-6	
578.666667	4.38554E-7	578.666667	1.44595E-6	
581.333333	3.90989E-7	581.333333	4.78965E-7	
584	4.27337E-7	584	6.26676E-7	
586.666667	8.11233E-7	586.666667	7.25785E-7	
589.333333	1.16233E-7	589.333333	1.4116E-7	
592	7.43405E-8	592	7.60001E-7	
594.666667	1.12885E-7	594.666667	5.78013E-7	
597.333333	4.46507E-8	597.333333	9.48934E-8	
600	2.13724E-7	600	9.79483E-8	
602.666667	1.78294E-7	602.666667	3.61859E-8	
605.333333	2.06848E-7	605.333333	6.09784E-8	
608	1.10503E-8	608	1.03523E-7	
610.666667	3.8671E-8	610.666667	7.086E-8	
613.333333	8.42932E-8	613.333333	1.47277E-8	
616	1.04531E-7	616	1.2452E-7	
618.666667	3.70938E-8	618.666667	1.59723E-9	
621.333333	3.32636E-8	621.333333	1.83699E-8	
624	1.20655E-7	624	5.31628E-8	
626.666667	2.17788E-7	626.666667	1.00679E-7	
629.333333	2.98185E-8	629.333333	7.01631E-8	
