Frequency (Hz) - Left Channel (Power Spectrum)	Amplitude - Left Channel (Power Spectrum)	Frequency (Hz) - Right Channel (Power Spectrum)	Amplitude - Right Channel (Power Spectrum)	
333.333333	9.25769E-8	333.333333	1.65394E-6	
336	2.41611E-8	336	1.71731E-6	
338.666667	2.15836E-6	338.666667	5.72937E-6	
341.333333	7.8173E-7	341.333333	2.3132E-6	
344	1.25534E-6	344	1.12E-6	
346.666667	6.36542E-8	346.666667	1.40788E-7	
349.333333	1.29528E-7	349.333333	1.97411E-8	
352	2.09349E-6	352	7.97468E-7	
354.666667	5.14016E-7	354.666667	2.48112E-8	
357.333333	1.91237E-7	357.333333	5.92848E-7	
360	1.35988E-7	360	6.02498E-7	
362.666667	1.19239E-7	362.666667	2.39976E-6	
365.333333	5.41999E-8	365.333333	6.02777E-7	
368	1.72212E-6	368	4.79456E-9	
370.666667	3.90312E-7	370.666667	5.60384E-7	
373.333333	3.63315E-6	373.333333	3.66554E-6	
376	1.20423E-6	376	3.7841E-6	
378.666667	4.94943E-7	378.666667	4.73063E-7	
381.333333	3.59002E-7	381.333333	9.57041E-7	
384	2.11453E-6	384	1.0323E-6	
386.666667	4.5601E-7	386.666667	4.77939E-8	
389.333333	8.45603E-7	389.333333	5.23546E-7	
392	2.82943E-7	392	3.28045E-8	
394.666667	2.8601E-7	394.666667	8.37053E-7	
397.333333	2.16336E-7	397.333333	4.7995E-8	
400	1.60011E-7	400	4.53674E-7	
402.666667	7.74501E-8	402.666667	1.65997E-8	
405.333333	8.14657E-9	405.333333	2.25627E-8	
408	1.08073E-7	408	4.71271E-7	
410.666667	5.33864E-7	410.666667	4.00922E-7	
413.333333	5.21571E-7	413.333333	4.1107E-6	
416	1.28018E-6	416	1.9653E-6	
418.666667	3.5858E-6	418.666667	1.57388E-6	
421.333333	4.77317E-6	421.333333	7.50823E-6	
424	3.16098E-7	424	2.70273E-6	
426.666667	1.19207E-5	426.666667	4.97056E-7	
429.333333	1.24188E-5	429.333333	4.64106E-6	
432	1.97533E-6	432	1.40095E-6	
434.666667	1.29276E-6	434.666667	5.66343E-6	
437.333333	3.70848E-6	437.333333	5.00019E-6	
440	8.87791E-7	440	1.1683E-6	
442.666667	1.33436E-6	442.666667	3.98961E-7	
445.333333	7.40399E-7	445.333333	6.47552E-7	
448	2.42684E-6	448	5.7551E-7	
450.666667	4.98398E-7	450.666667	7.71776E-7	
453.333333	4.74537E-7	453.333333	3.79042E-7	
456	3.62558E-7	456	6.546E-8	
458.666667	2.02138E-6	458.666667	5.25718E-7	
461.333333	2.41722E-8	461.333333	3.97874E-7	
464	5.51282E-7	464	6.19108E-7	
466.666667	2.12941E-7	466.666667	7.96651E-7	
469.333333	9.31882E-7	469.333333	1.16902E-6	
472	3.75499E-7	472	2.33591E-6	
474.666667	2.06666E-6	474.666667	3.77895E-6	
477.333333	4.41514E-7	477.333333	1.83614E-7	
480	2.04667E-9	480	8.2974E-7	
482.666667	1.10589E-7	482.666667	1.19687E-6	
485.333333	1.51029E-6	485.333333	8.31482E-7	
488	1.4651E-6	488	2.67115E-6	
490.666667	1.24697E-5	490.666667	9.08231E-6	
493.333333	2.85063E-6	493.333333	1.58915E-6	
496	4.36691E-5	496	3.23474E-5	
498.666667	1.34615E-5	498.666667	2.25599E-5	
501.333333	2.20092E-5	501.333333	2.5512E-5	
504	4.89915E-7	504	2.73096E-6	
506.666667	8.89807E-6	506.666667	1.66829E-5	
509.333333	3.97196E-6	509.333333	1.46799E-6	
512	1.02936E-6	512	1.30413E-6	
514.666667	1.84114E-6	514.666667	2.76857E-6	
517.333333	6.29952E-7	517.333333	1.01556E-6	
520	1.62179E-6	520	8.12401E-7	
522.666667	7.68383E-7	522.666667	8.49964E-7	
525.333333	4.41418E-7	525.333333	1.80987E-7	
528	2.31758E-7	528	4.30524E-8	
530.666667	2.6849E-7	530.666667	1.04104E-7	
533.333333	1.01732E-6	533.333333	7.01215E-7	
536	1.00674E-6	536	1.9892E-7	
538.666667	5.7146E-8	538.666667	1.46109E-7	
541.333333	7.14677E-7	541.333333	2.28279E-7	
544	5.42706E-7	544	2.21464E-7	
546.666667	5.30488E-7	546.666667	2.88904E-7	
549.333333	8.30379E-7	549.333333	6.09424E-7	
552	6.85129E-8	552	1.99961E-7	
554.666667	1.64812E-6	554.666667	1.1125E-6	
557.333333	6.16097E-7	557.333333	2.8567E-7	
560	2.31526E-7	560	7.68403E-8	
562.666667	3.3037E-7	562.666667	3.37205E-7	
565.333333	1.76103E-7	565.333333	1.11139E-7	
568	1.82786E-6	568	6.08706E-8	
570.666667	6.90843E-7	570.666667	6.29525E-7	
573.333333	1.77205E-6	573.333333	1.90446E-7	
576	8.28273E-7	576	7.63733E-7	
578.666667	1.61977E-7	578.666667	2.56719E-7	
581.333333	4.03355E-7	581.333333	1.25825E-7	
584	1.85324E-7	584	1.62108E-7	
586.666667	4.38522E-7	586.666667	2.82058E-7	
589.333333	2.11681E-7	589.333333	3.74806E-7	
592	3.96207E-7	592	2.66513E-7	
594.666667	2.12397E-7	594.666667	1.92066E-7	
597.333333	5.75108E-7	597.333333	3.73301E-7	
600	6.54259E-7	600	5.94181E-7	
602.666667	1.45246E-9	602.666667	2.38496E-7	
605.333333	9.37083E-8	605.333333	2.54706E-7	
608	2.22477E-7	608	7.68288E-7	
610.666667	2.29331E-7	610.666667	7.37835E-7	
613.333333	1.24811E-7	613.333333	5.07659E-7	
616	1.01598E-6	616	6.41083E-7	
618.666667	3.50919E-7	618.666667	4.19008E-7	
621.333333	2.87062E-7	621.333333	1.57789E-7	
624	2.16367E-7	624	1.37677E-7	
626.666667	5.40473E-7	626.666667	6.17396E-7	
629.333333	9.63423E-7	629.333333	1.85738E-7	
632	1.52642E-7	632	2.22448E-8	
634.666667	3.29226E-7	634.666667	1.28799E-7	
637.333333	2.14971E-7	637.333333	2.71893E-7	
640	8.90499E-9	640	3.29207E-8	
642.666667	1.17028E-7	642.666667	2.67587E-7	
645.333333	7.67362E-7	645.333333	3.20669E-7	
648	5.82479E-8	648	8.27001E-8	
650.666667	7.40308E-8	650.666667	1.89897E-7	
653.333333	6.59631E-8	653.333333	4.29575E-7	
656	1.11652E-7	656	3.21725E-8	
658.666667	2.83775E-7	658.666667	4.59336E-7	
661.333333	3.52825E-7	661.333333	5.45899E-7	
664	1.40602E-7	664	4.77789E-8	
666.666667	1.42218E-7	666.666667	8.89997E-8	
669.333333	2.02978E-7	669.333333	2.71975E-8	
672	1.40376E-7	672	3.75836E-7	
674.666667	4.53017E-9	674.666667	3.74841E-7	
677.333333	1.86513E-7	677.333333	2.57491E-7	
680	1.86418E-7	680	3.77519E-7	
682.666667	2.1986E-8	682.666667	3.95973E-7	
685.333333	1.29754E-6	685.333333	1.10123E-6	
688	7.48235E-9	688	9.57737E-8	
690.666667	5.94393E-8	690.666667	1.92164E-7	
693.333333	2.92388E-7	693.333333	5.38228E-8	
696	5.80822E-8	696	2.34611E-7	
698.666667	4.0697E-8	698.666667	1.98574E-7	
701.333333	3.30369E-8	701.333333	3.06963E-8	
704	1.31641E-7	704	5.41101E-7	
706.666667	1.20391E-7	706.666667	1.31774E-7	
709.333333	2.35691E-7	709.333333	9.9183E-7	
712	6.36407E-7	712	1.52173E-8	
714.666667	3.69532E-8	714.666667	1.45412E-7	
717.333333	2.92738E-7	717.333333	7.718E-8	
720	5.7505E-8	720	2.07913E-7	
722.666667	3.54271E-7	722.666667	4.75604E-8	
725.333333	1.79855E-7	725.333333	1.85503E-7	
728	2.07649E-7	728	1.50278E-7	
730.666667	3.10292E-7	730.666667	4.50901E-8	
733.333333	8.62276E-8	733.333333	1.47668E-8	
736	7.40901E-8	736	3.32023E-7	
738.666667	3.74951E-6	738.666667	5.88629E-7	
741.333333	1.47891E-6	741.333333	1.50665E-7	
744	2.04295E-6	744	3.30853E-6	
746.666667	5.64437E-7	746.666667	1.90611E-7	
749.333333	4.07823E-7	749.333333	2.66975E-8	
752	4.75413E-8	752	2.43188E-8	
754.666667	3.50218E-9	754.666667	1.32682E-7	
757.333333	2.20365E-7	757.333333	1.93608E-7	
760	4.51135E-7	760	5.49168E-7	
762.666667	7.77661E-8	762.666667	1.58213E-7	
765.333333	1.40142E-8	765.333333	4.51273E-8	
768	3.4543E-8	768	1.29651E-7	
770.666667	4.28356E-7	770.666667	5.55017E-9	
773.333333	7.81141E-7	773.333333	1.46506E-7	
776	1.51316E-7	776	3.1479E-7	
778.666667	8.30648E-8	778.666667	1.70932E-7	
781.333333	6.82105E-8	781.333333	1.67368E-7	
784	2.60895E-7	784	4.04569E-7	
786.666667	1.60352E-7	786.666667	1.42113E-7	
789.333333	5.62303E-7	789.333333	1.95246E-7	
792	8.44738E-8	792	3.08317E-7	
794.666667	2.24966E-7	794.666667	4.83921E-7	
797.333333	5.60448E-7	797.333333	8.27613E-7	
800	2.09877E-6	800	1.74474E-6	
802.666667	3.00756E-7	802.666667	4.00802E-7	
805.333333	6.70026E-8	805.333333	1.90904E-7	
808	3.26739E-7	808	8.24599E-7	
810.666667	1.57388E-6	810.666667	3.12823E-7	
813.333333	2.0698E-7	813.333333	4.24036E-7	
816	3.55795E-7	816	9.15037E-8	
818.666667	2.3006E-7	818.666667	3.13279E-8	
821.333333	1.35961E-7	821.333333	2.68512E-7	
824	1.83908E-7	824	5.34751E-8	
826.666667	1.35151E-7	826.666667	3.47733E-7	
829.333333	4.23657E-7	829.333333	3.39002E-7	
832	1.664E-7	832	2.57755E-8	
834.666667	6.46074E-9	834.666667	3.60328E-7	
837.333333	2.74599E-7	837.333333	5.18422E-9	
840	2.99385E-7	840	4.31452E-7	
842.666667	1.22545E-7	842.666667	3.86098E-7	
845.333333	3.62236E-7	845.333333	7.47082E-7	
848	3.708E-7	848	1.10752E-7	
850.666667	8.00363E-8	850.666667	4.34941E-7	
853.333333	4.45926E-8	853.333333	1.39368E-7	
856	1.07264E-7	856	1.06311E-6	
858.666667	3.28177E-7	858.666667	2.18231E-7	
861.333333	9.65768E-8	861.333333	1.13439E-7	
864	9.19405E-8	864	3.13862E-7	
866.666667	9.67677E-8	866.666667	4.08554E-6	
